,title,body,publish_time
0,《其他股》裕融上半年ROA、ROE雙揚 第三季EPS上看3.67元(2-2),<p>裕融(9941)第二季營收、毛利均在財測上緣，營業利益超出財測，稅前淨利、歸屬於母公司綜合利益、每股盈餘則略遜於財測。為強化公司治理，提升資訊透明度，裕融依「證券交易法」第36-1及「公開發行公司公開財務預測資訊處理準則」規定自願公開財務預測，並以按季公告為之。</p><p>  裕融2022年第3季財務預測，營業收入86.97~96.12億元，季減2.59%~季增7.66%、年增7.63%~18.95%；營業毛利50.80~56.14億元，季減2.69%~季增7.55%、年增13.81%~25.79%；營業利益28.31~31.29億元，季增1.38%~12.05%、年增8.31%~19.71%；稅前淨利22.66~25.04億元，季增9.47%~20.99%、年增20.16%~32.81%；歸屬於母公司綜合利益16.22~19.82億元，季增43.58%~75.49%、年增20.07%~46.75%；每股盈餘3.45~3.67元，可望相較今年第二季2.78元、去年同期3.00元成長，並回到第一季水準。</p><p>　而關於新安東京海上產險上半年六月底公告認列損失293億元，已經採取比較保守原則認列。實務狀況要持續再觀察，包括確診數字、政府政策等都是不確定性因子。</p><p>　增資在3月董事會通過，現金增資會因應營運發展、改善結構，增資繳款於8月25日已經繳足，公司111年現金增資發行普通股5000萬股，每股發行價格新台幣150元，實收股款總額新台幣75億元，業已全數收足，並訂定111年8月26日為現金增資基準日，預定股款繳納憑證上市日期為111年8月31日。而增資用途會用於先償還銀行借款，預計年底負債淨值比會降到八倍以下水準；現增對整體今年利息費用影響約減少2900萬元，全年EPS可望提升約0.2元。</p><p>　東南亞擴展進度上，由於菲律賓疫情反覆，汽車交易冷淡狀況，裕融採穩健保守狀況操作，除了原來車貸外，也嘗試做醫療設備業務，開始建立醫院管道，菲律賓風險相對其他東南亞市場較低，業務把握度相對高，而其他幾個東南亞地區都還在調研。</p><p>　針對公司明年的股利政策，裕融說明，希望股利政策趨於穩定，在現金跟股票比重上會做重新規劃配置，整體發放率控制在5-7成的比例。</p><p>　裕融太陽能光電、綠電累計投資額超過40億元，建置超過240座，發電量達80mw，將隨著規模擴大持續扮演獲利角色。至於充電樁目前還是全台最多的業者，牽涉電動車發展情形，未來可望會帶來比較穩定狀況。而三義電廠進度，目前案子還在規劃與評估階段，未來將會以裕隆(2201)來主導。</p><p>　新鑫、格上是否有在台上市計畫？裕融也表示，長期都希望子公司可以上市，但看經營績效跟後續本益比、股價等表現，需要綜合考量，先把子公司經營績效做好，再評估是否上市。</p><p></p>, 08/28 16:10 
1,《其他股》裕融上半年ROA、ROE雙揚 第三季EPS上看3.67元(2-1),<p>裕融(9941)上周五法說會，上半年EPS升至6.3元。上半年ROA為2.57%，ROE為23.95%，相較去年同期雙雙上升。第三季每股盈餘3.45~3.67元，可望相較今年第二季2.78元、去年同期3元成長，並回到第一季水準。</p><p>　裕融第二季合併總資產2521.23億元，年增18.05%、季增3.7%，台灣占84.5%、大陸占15.2%。第二季營業收入89.28億元，季增6%、年增13.4%，第二季毛利率從去年同期的54.5%升至58.5%，主因來自於融資收息的業務，高營益性的營收占比呈現增加，毛利率則季減1.2個百分點。合併稅前淨利20.7億元，較上季下滑，主要為持有新安東京海上1.94%持股，防疫保單因素下，公司認列損失，歸屬母公司稅後淨利12.93億元，仍成長兩成以上，單季EPS略增達2.78元，EPS以普通股股本44.71億元計算，新安東京海上認列損失影響EPS為1元左右。第二季ROA為2.28%，ROE為20.86%，雙雙較去年同期下滑。</p><p>　裕融上半年營業收入173.38億元，年增11.87%，台灣版圖表現較佳，毛利率從去年上半年53.5%升至今年上半年59.1%，合併稅前淨利42.66億元，年增31.6%，歸屬母公司稅後淨利29.14億元，年增逾兩成，上半年EPS升至6.3元。上半年ROA為2.57%，ROE為23.95%，相較去年同期雙雙上升。</p><p>　裕融也提到，這兩年持續針對產品做優化，高收益產品比重增加，餘額累積產生獲利提升，再加上2021年海外資產品質差，有認列較大呆帳損失，去年來上述因素有呈現大幅改善，使得公司營業利益或稅前淨利成長會大幅超過營收成長率。</p><p>　台灣央行今年來已兩次升息，升息狀況對整體獲利影響，跟之前法說會看法差不多。視央行升息，毛利率可能會下降，內部已有做好對策，調整產品與新客戶利率調整，以及內部費用有效管控，讓升息因素影響降到最小。</p><p>　裕融延滯率，台灣升至1.25%以下，但變化不算太大，仍在管控範圍內；大陸降至2.00%以下，略為改善，大陸地區延滯率目前30天控制在2以下，在疫情、大環境下，控制在相對審慎安全的範圍內。</p><p>　資產餘額係指認列分期及融資利息收入之資產，裕融資產餘額第二季2181.59億元，年增20.8%、季增4.6%，台灣汽車金融資產餘額1046.62億元，季增4.3%、年增19.4%，其中中古車占83%、新車占17%。台灣企業金融資產餘額568.23億元，季增8%、年增34.4%，台灣消費金融資產餘額266.20億元，季增7.9%、年增34.4%。</p><p>　裕融大陸汽車金融資產餘額第二季16.12億元人民幣，季減11.8%、年減22.9%，下滑主要是疫情、合規等因素，大陸二手車交易嚴格，受到比較大影響，態度上比較警慎。下半年疫情跟合規因素還是有，但績效可望比上半年好，8月數字也有看到逐步改善。大陸企業金融資產餘額50.17億元人民幣，季增3.3%、年增7.2%。而關於大陸近期房市、限電、GDP增速放緩等問題，對裕租資產品質展望及授信成長目標狀況，裕融提到，大陸地區在第二季比首季有成長，業績上不會有積極擴張作法，第三季應該會小幅成長。</p><p></p>, 08/28 16:10 
2,太景抗生素新藥奈諾沙星獲准於俄羅斯上市,"<p>太景-KY（4157）宣布，抗生素新藥奈諾沙星靜脈輸液（500 mg/250 ml）已正式通過俄羅斯衛生部（MoH, Ministry of Health）的藥品審查、核准上市，其上市版圖再擴大。</p><p>太景董事長暨執行長黃國龍強調，取得俄羅斯藥證的意義及價值並不單只是進入一個國家的藥品市場，而是為奈諾沙星奠定進入其他獨立國協國家市場的基礎。由於俄羅斯藥證受其他獨立國協國家之認可，未來，將能夠以俄羅斯藥證申請獨立國協及其他共13個已授權國家之藥品上市許可。</p><p>太景表示，26日晚間收到來自俄羅斯合作夥伴R-Pharm的好消息，甫接獲俄羅斯衛生部的正式通知，奈諾沙星靜脈輸液已通過俄羅斯進口及在地生產兩項上市許可（MA, Market Authorization），即將於俄羅斯上市銷售。</p><p>依據授權合約，太景將可收取產品上市之里程碑款，產品開始銷售後，太景並有達兩位數比例之銷售權利金收入，成為長期穩定的營收來源。</p><p>太景指出，與R-Pharm共同投入奈諾沙星的上市許可申請（NDA）準備工作，期間雖歷經COVID-19疫情對全國各國政府運作造成衝擊，所幸終不負所望，達成目標。R-Pharm乃於2020年底遞交NDA，2021年4月由俄羅斯工業貿易部（MIT, Ministry of Industry and Trade）透過遠端視訊進行生產製造廠GMP查廠作業；2021年底取得GMP證書；待俄羅斯衛生部完成後續行政審查程序，正式於本月通知核准。</p><p>奈諾沙星為新型不含氟的諾酮抗生素，其特色在於具備廣譜性、安全性高，可對抗絕大多數肺炎的致病菌，尤其對有「超級細菌」之稱的耐甲氧西林金黃色葡萄球菌（MRSA）、抗萬古黴素金黃色葡萄球菌（VRSA）、多重抗藥性肺炎鏈球菌（MDRSP）以及抗盤尼西林肺炎鏈球菌（PRSP）等難治之抗藥性細菌都有強效抗菌活性，且其結構設計不易產生抗藥性，可用於一線治療。目前已授權全球36個國家，並持續朝其他未授權區域洽談開發機會。</p>", 08/28 15:28 
3,颱風沒來水情趨緊 新北桃園台南轉為水情提醒的綠燈,<p>依據中央氣象局降雨資料，今年6月起起至8月23日止，國內各地水庫集水區降雨量明顯偏少，各地水庫平均降雨量更僅為歷年同期平均之4成以下，其中新山水庫降雨量更僅為同期34％。</p><p>因應降雨量減少，經濟部抗旱會議決議27日起，調整新北、桃園與台南等地區水情燈號，由水情正常藍燈調整為水情提醒之綠燈。</p><p>另外，經濟部水利署已於8月15日調整基隆地區（含新北市汐止區）水情燈號為水情提醒之綠燈，並預計自9月3日起將基隆地區（含新北市汐止區）水情燈號調整為第一階段限水之黃燈，於不影響民生及防疫用水下實施離峰時段減壓供水，並且台水公司將停供政府機關及國營事業轄管之噴水池、澆灌、沖洗外牆、街道及水溝等非必要性用水。</p><p>近日雙溪溪及基隆河上游集水區午後雷陣雨降雨量未如預期，對於緩解基隆地區缺水問題成效甚微，目前台水公司持續配合水利署各項水源調配及管控措施，並責成所屬各區管理處加強宣導節約用水及水壓管控，強化備援水源之整備，以及調派全台各區管理處水車支援基隆地區，尚能維持用戶基本用水需求，惟基隆地區旱象仍尚未解除，仍請民眾共體時艱節約用水，將水資源做最有效利用。</p>, 08/28 14:25 
4,投資詐騙今年前七月暴增385件 金管會曝原因,<p>投資詐騙年年有今年特別多！金管會證期局副局長高晶萍指出，2022年前七月已接獲385件投資詐騙陳情案件，超越2021年全年的336件。她分析，主要是近二年股市熱絡，詐騙集團主題式地持續利用低成本的電話、LINE或簡訊，無差別傳送詐騙訊息吸引投資人，面對詐騙集團鋪天蓋地傳送詐騙簡訊，金管會已請證交所研議「短期密集式」防詐宣導。</p><p>「我是XX證券王小姐，你不記得我了嗎？有急事找請加我LINE。」2022年以來，類似的詐騙簡訊無孔不入，企圖誘導民眾踏入投資詐騙陷阱，高晶萍表示，詐騙陳情統計是從2021年開始，2021年前六月有96件、去年7月至12月有240件、全年336件，而今年光是前七月就385件，已超過去年全年。</p><p>高晶萍分析詐騙案件增加的原因，主要是近二年股市交易熱絡，詐騙集團利用民眾希望快速獲利的心理，選定投資主題進行詐騙，更容易誘使投資人受騙，加上詐騙集團持續利用低成本的電話、LINE或簡訊，無差別傳送詐騙訊息接觸大眾。</p><p>高晶萍指出，針對投資詐騙案暴增，金管會已和相關公會及周邊單位持續廣泛對投資人進行教育宣導，讓投資人能提高警覺，遇到異常或不法情事可積極舉報、打擊詐騙。</p><p>高晶萍指出，為維護投資人權益，金管會已和周邊單位及執法單位合作反詐騙。一是與警政機關密切合作、建立聯繫窗口，針對金管會蒐集到的犯罪情資，移請刑事警察局參酌辦理。</p><p>同時，金管會已請周邊單位建置防詐騙及查詢合法業者專區，若有遭到冒名的名人出面澄清，也會刊登相關內容；針對國際投資或非法業者，同樣已建置警示專區，投資人可至證券相關公會網站專區查詢。</p><p>高晶萍表示，去年股市屢屢創新高，詐騙集團也不斷祭出高投報率、名人帶領投資等陷阱誘導民眾，因此金管會2021年12月5日也設立反詐騙諮詢專線02-2737-3434，由投保中心提供反詐騙法律諮詢服務。</p><p>高晶萍指出，詐騙情形屢見不鮮，最重要還是要讓民眾有警覺心，所以透過各種教育宣導或宣廣活動持續示警，已多次發布新聞稿呼籲投資人注意風險、結合周邊單位和相關公會舉辦座談會、大學社團反詐騙活動，並透過平面或數位媒介，例如拍攝短片、海報等，甚至透過捷運廣告提醒民眾。</p><p>高晶萍坦言，金管會做了很多宣導，網頁上也都查得到相關反詐騙訊息，但投資人要點進去看，才會發揮效果、提高警覺心，因此金管會近日已請證交所召集相關單位研議「短期密集式」宣導，想辦法讓民眾較能接觸到宣導教材，進而提高警覺，不再受詐騙招數迷惑。</p>, 08/28 14:24 
5,《汽車股》台車市今年估售43萬台 中華看好H2內銷雙揚,<p>中華(2204)上周五法說會，第二季、上半年EPS轉虧，中華強調，公司本業及業外獲利能力持續成長 且有足夠資金可支持中長期策略發展，待未來防疫險影響消除後，獲利即可回歸正常水準。中華預估，2022全年銷售量(包含小車與大車)共43萬台，恐年減4.44%。中華展望下半年內外銷四輪及二輪台數與今年上半及去年下半相比，皆呈現成長趨勢。</p><p>　中華2022年上半年營收及營業利益受市場影響而年比下滑，營業收入144.09億元，年減11.0%，營業利益11.96億元，年減20.8%，2020年底舊換新政策續推不明，部分訂單位移至2021年初交車，致比較基期較高，加上2022年疫情升溫影響，整體市場下滑造成營收下降；但面對原物料上漲及零部件短缺，中華在穩健控管下，毛利率提升，上半年毛利率升至17.49%，本業表現穩定。</p><p>　2022上半年稅後淨利受轉投資公司新安產險防疫險保單一次性業外虧損影響，出現較大虧損，但中華業務發展穩定，明年獲利可望回歸正常水準。今年上半年稅後淨損39.89億元，年減249.9%；本期淨損歸屬母公司業主虧損40.99億元，年減261.5%，基本每股虧損7.52元，相較去年同期的每股盈餘4.65元轉虧。</p><p>　中華2022年上半年經營成果，排除新安產險影響，公司2022上半年業內與業外表現穩健，營業利益11.96億元，業外淨利(不含新安)17.50億元，稅後淨利歸屬母公司業主(不含新安)24.25億元，每股盈餘(不含新安)4.45元。公司業內與業外(不含新安產險)持續提升。</p><p>　中華今年第二季資產負債與財務比率，雖受轉投資認列虧損影響權益法投資餘額，但公司本業獲利能力及各項財務指標仍然穩健，並優於產業平均表現，有充足資金支持中長期策略發展。截止2022年6月30日，應收帳款周轉天數年升至29，存貨周轉天數降至54，負債比26%。</p><p>　中華第二季，今年4月國內疫情大爆發、整體車市衰退下，公司積極衝刺業績同時，落實防疫措施、提前備料，順利保持正常生產，因此本業經營維持穩健，Q2營收季增率略為下滑1%，但仍達70億元以上，達成公司管理目標，且毛利率與營業利益率均較首季提升，單季毛利率提升，中華表示，公司很提早就掌握原物料波動狀況，有積極控管，減少對公司原物料上漲不利的影響。惟受新安產險認列大幅虧損影響，第二季稅後淨利呈現較大虧損。單季稅後淨損53.55億元，年減492.0%；本期淨損歸屬母公司業主虧損54.11億元，年減512.4%，基本每股虧損9.92元，相較今年第一季每股盈餘2.41元轉虧。</p><p>　關於轉投資公司防疫險產品理賠虧損說明，由於轉投資公司新安產險防疫險商品理賠損失，中華上半年依綜合持股認列新安產險虧損65.24億元，致營業外收入及支出虧損47.74億元，稅後淨利虧損39.89億元，每股虧損為7.52元。中華表示，此為單一事件產生之一次性業外虧損，新安產險虧損影響之每股盈餘11.97元，排除新安產險影響後，上半年EPS為4.45元，仍較2021年上半年排除新安產險影響後之EPS4.35元成長。中華強調，公司本業及業外獲利能力持續成長 且有足夠資金可支持中長期策略發展，待未來防疫險影響消除後，獲利即可回歸正常水準。而2023年配發2022年的股利是否會扣除新安產險虧損後的獲利來作為計算股利發放的基礎？中華提到，公司歷年獲利穩定、資金充裕，實際分配狀況會依照實際營運狀況來做。</p><p>　各研究機構預估2022年台灣經濟成長率預估介於3.20%~3.91%之間，台灣汽車市場，中華預估，2022全年銷售量(包含小車與大車)共43萬台，恐年減4.44%。而各研究機構預估大陸2022年經濟成長率介於4.04%~4.4%之間，大陸汽車市場，中華預估，2022全年2750萬台、成長率4.7%。</p><p>　中華2022年下半年營運展望，2022年下半年公司銷售預估皆較上半年或去年同期成長，在上半年因疫情爆發、車市低迷，但隨著疫情趨緩，預期消費動能將逐步回復，下半年內銷四輪及二輪市場總量預期皆較上半年成長。中華展望下半年內外銷四輪及二輪台數與今年上半及去年下半相比，皆呈現成長趨勢。</p><p>　中華說明，缺料狀況因整體汽車市場受到很多疫情、戰爭等不利因素都還在發生，但中華很早就在做所有零件、原物料管控與缺料預估，對於如何備料與擴大來源都有提早準備，目前需求都可以對應，都在可控中，對成本上升的影響都在掌控當中。</p><p>　而被問到和泰車(2207)的Townace今年上市，是否影響今年的商用車銷售？中華表示，過去在區隔市場占有率很高 所以有受到一點影響，但在整體表現上還是有達成既有銷售目標，受到影響比預期小，後續還是會盡力確保目標完成，強化產品類跟行銷，確保完成年度目標。</p><p></p>, 08/28 14:09 
6,《產業》虹夕諾雅谷關總經理 福井裕子接任,<p>日本百年旅宿品牌星野集團宣布，由福井裕子（Fukui Yuko）接任「虹夕諾雅 谷關」總經理，為該品牌海外設施首位女性總經理。將活用深耕逾20年的豐富經驗，將日式款待精神與溫泉文化融入台灣與谷關，帶給旅客全新的住宿體驗。</p><p>　2019年6月30日開幕的「虹夕諾雅 谷關」星野集團首次在台灣打造的頂級溫泉度假村，也是虹夕諾雅品牌第二所海外設施。所有客房均設有半露天浴池，擁有能感受到風與水的開放公共空間、配合場合的料理等，並準備以台灣文化為基礎的體驗活動。</p><p>　「虹夕諾雅 谷關」由業主汶山企業委託星野集團經營管理，其中豐興轉投資持股18％。雖然近2年飯店業倍受疫情衝擊，但據豐興財報揭露，汶山企業2021年稅後淨利0.9億元、年增7.23％，2022年上半年稅後淨利0.55億元、年增達61.83％，營運未受太大影響。</p><p>　「虹夕諾雅 谷關」新任總經理福井裕子1998年於日本山梨縣進入服務業界，並於2001年進入星野集團。入社後首先在北海道的「星野集團TOMAMU」擔任人事、總務部門的負責人，2020年起擔任親子度假村「星野集團RISONARE熱海」總經理。</p><p>　在新冠肺炎疫情肆虐下，近2年來全球觀光產業都深受影響之際，福井裕子不斷思考如何在疫情下推行理想的親子旅遊，也因應客人的種種需求改變服務型態，提供結合當地魅力特色的住宿體驗。</p><p>　「虹夕諾雅 谷關」除有深邃溪谷帶來豐沛的湧泉與溫泉，當地也是泰雅族的居住地，擁有歷史深遠的原住民文化。以當地特色為主軸，融合日式款待精神與因應時勢的旅遊模式，福井裕子以「成為被旅客、員工及整個地區所愛的度假村」為目標，盼持續帶領團隊前進。</p><p>　福井裕子表示，很榮幸能來台擔任「虹夕諾雅 谷關」總經理。來到谷關這段時間，已從館內的動植物生態與員工身上，感受到今年即將邁入第四年的「虹夕諾雅 谷關」與豐碩的自然環境完美相融，提供新住宿型態以享受旅程。</p><p>　此外，谷關被群山環繞，因此擁有豐富的水源、溫泉及暢涼的微風，令福井裕子不禁感嘆自然之美。福井裕子表示，將努力將虹夕諾雅谷關打造為獨一無二的休憩之地，成為令人想一訪再訪的秘境。</p><p></p>, 08/28 13:29 
7,雙重平穩機制超額吸收 明汽、柴油各降0.3元及0.4元,<p>沙烏地阿拉伯宣稱石油輸出國家組織(OPEC)隨時準備減產等因素，推升國際油價攀升，但在中油起動雙重平穩機制超額吸收下，國內油價不升反降，明凌晨零時起起汽、柴油各調降0.3元及0.4元。</p><p>調整後，92無鉛汽油每公升29.2元、95無鉛汽油每公升30.7元、98無鉛汽油每公升32.7元、超級柴油每公升27.0元。本週因雙重平穩機制啟動，汽、柴油各吸收4.1元及5.4元。</p><p>    中油表示，受沙烏地阿拉伯宣稱石油輸出國家組織(OPEC)隨時準備減產，加上俄羅斯、哈薩克2國石油出口因黑海碼頭設備維修受阻影響，帶動國際油價上漲。調價指標7D3B周均價上漲4.14美元，新台幣兌美元匯率貶值0.201元，國內油價依公式計算漲幅為4.09％。</p><p>按浮動油價機制原則，原應每公升各調漲3.8元及5.0元，為維持價格低於亞洲鄰近國家(日、韓、港、星)，汽、柴油各吸收3.8元及5.1元；吸收後95無鉛汽油超出30元，進一步啟動油價平穩措施，第一階段吸收25％調幅後四捨五入，汽、柴油每公升各再吸收0.3元。雙重平穩機制啟動，汽、柴油共各吸收4.1元及5.4元，國內汽、柴油實際價格每公升各調降0.3元及0.4元，累計111年至7月底止，台灣中油共吸收約271億元。</p>, 08/28 12:28 
8,加油等等！汽、柴油各降0.3元、0.4元,<p>中油表示，沙烏地阿拉伯宣稱石油輸出國家組織（OPEC）隨時準備減產，加上俄羅斯、哈薩克石油出口因黑海碼頭設備維修受阻，帶動國際油價上漲，惟在雙重平穩機制啟動下，汽、柴油各吸收4.1元及5.4元，29日凌晨零時起汽、柴油各調降0.3元及0.4元。</p><p>調整後，中油參考零售價格為92無鉛汽油每公升29.2元、95無鉛汽油每公升30.7元、98無鉛汽油每公升32.7元、超級柴油每公升27元。</p><p>中油指出，本週浮動油價調整原則之調價指標7D3B週均價上漲4.14美元，新臺幣兌美元匯率貶值0.201元，國內油價依公式計算漲幅為4.09％。按浮動油價機制調整原則，原應每公升各調漲3.8元及5元。</p><p>不過，為維持價格低於亞洲鄰近國家（日、韓、港、星），汽、柴油各吸收3.8元及5.1元；吸收後95無鉛汽油超出30元，進一步啟動油價平穩措施，第一階段吸收25％調幅後四捨五入，汽、柴油每公升各再吸收0.3元。雙重平穩機制啟動，國內汽、柴油實際價格每公升各調降0.3元及0.4元。累計111年至7月底止，中油共吸收約271億元。</p>, 08/28 12:21 
9,《科技》AFTEE先享後付與博客來合作 搶灘閱讀市場,<p>先買後付（BNPL）品牌AFTEE先享後付與全台最大網路書店博客來合作，搶搭閱讀商機。AFTEE先享後付所屬的恩沛科技執行長角元友樹表示，在疫情影響之下，閱讀風氣再起，特別是年輕世代對數位閱讀形式接受度高，整體出版市場商機蓬勃，導入先買後付服務，也有助於滿足年輕客群的多元支付需求。</p><p>　市調機構Valuates的調查，疫情已顯著帶動消費者網路借閱與購書行為更趨頻繁，估計2026年電子書全球市場規模將可達新台幣1兆零800萬元，為當前的2.4倍。資誠所發布的《2022全球與台灣娛樂暨媒體業展望報告》顯示，消費性圖書市場的銷售額，在2021年年增4.5％、來到5.79億美元，預估未來5年亦將持續成長，其中電子書營收占比增加到30.2％，顯示「數位閱讀」時代已逐漸成形。</p><p>　角元友樹強調，透過持續強化的AI審查機制、提供優於業界超過96％的高通過率，讓消費者無論消費金額大小，都可以在10秒內擁有「先收到商品、再選擇全額支付或分期服務」的體驗。此次合作，不只更進一步擴大AFTEE先享後付會員消費場域，也將讓更多「愛書人士」擁有全新的支付選擇。</p><p>　博客來指出，2022年上半年電子支付消費金額較去年同期占比提升近1成，使用電子支付的會員中29歲以下更占25％，購買的業種以中文書最多、其次為3C家電、美妝、美食，顯示出數位支付廣受年輕族群喜愛，有助圖書、高單價3C、美妝保養品的銷售成長。有感於消費者線上購物需求顯著增加，促使平台展開更積極優化以提升消費者購物體驗、滿足需求，同時提升平台黏著度。</p><p>　今年博客來全力推動「先買後付」支付服務，攜手主打「只要手機號碼、可享10秒內快速結帳」的「AFTEE先享後付」，希望讓平台支付功能更完善、彈性再擴大，吸引年輕會員使用率提升2成。</p><p></p>, 08/28 11:59 
