,標題,連結,日期,推文數
0,Re: [新聞] 快訊／鄭寶清宣布參選桃園市長 四腳督正,https://www.ptt.cc/bbs/Gossiping/M.1661607406.A.49D.html,8/27,17
1,Re: [新聞] 直播》鄭寶清宣布參選桃園市長！,https://www.ptt.cc/bbs/Gossiping/M.1661607492.A.A18.html,8/27,3
2,[問卦] 請問早餐吃什麼可以交到女友,https://www.ptt.cc/bbs/Gossiping/M.1661607528.A.AF0.html,8/27,4
3,[問卦] 可愛超商女店員消失一段時間是去幹嘛了,https://www.ptt.cc/bbs/Gossiping/M.1661607587.A.3E6.html,8/27,2
4,Re: [新聞] 夜衝陽明山竟收18萬罰單　男大生控「告,https://www.ptt.cc/bbs/Gossiping/M.1661607598.A.F4F.html,8/27,
5,[問卦] 台灣小兵兵是不是又被看光光??,https://www.ptt.cc/bbs/Gossiping/M.1661607636.A.76D.html,8/27,5
6,[新聞] 徐州路女生宿舍驚傳一人墜樓 台大證實為,https://www.ptt.cc/bbs/Gossiping/M.1661607648.A.AA8.html,8/27,9
7,[問卦] 什麼貓最容易養胖？,https://www.ptt.cc/bbs/Gossiping/M.1661607887.A.D82.html,8/27,3
8,[問卦] 皇帝的學徒,https://www.ptt.cc/bbs/Gossiping/M.1661607907.A.689.html,8/27,2
9,[問卦] 台灣警察的社會地位高嗎？,https://www.ptt.cc/bbs/Gossiping/M.1661607945.A.A9B.html,8/27,5
10,[新聞] 花蓮外役監逃犯「一年特休5個月」醫狠酸,https://www.ptt.cc/bbs/Gossiping/M.1661607992.A.9D3.html,8/27,5
11,[問卦] 桃園鐵三角怎麼了？,https://www.ptt.cc/bbs/Gossiping/M.1661608012.A.826.html,8/27,
12,[問卦] 誰來科長?,https://www.ptt.cc/bbs/Gossiping/M.1661608020.A.58E.html,8/27,2
13,[公告] 八卦板板規(2022.02.21),https://www.ptt.cc/bbs/Gossiping/M.1645455874.A.65E.html,2/21,1
14,[公告] 帳號盜用列表&精華區收藏路徑,https://www.ptt.cc/bbs/Gossiping/M.1660382289.A.6C0.html,8/13,2
15,[協尋] 8/22下午16:30～1700中壢行車記錄器,https://www.ptt.cc/bbs/Gossiping/M.1661415577.A.231.html,8/25,10
16,[公告] 八卦板發文門檻正式改為２０００！！,https://www.ptt.cc/bbs/Gossiping/M.1661500266.A.E87.html,8/26,爆
17,[公告] 帳號部隨機清查帳號中如被退註請這樣做,https://www.ptt.cc/bbs/Gossiping/M.1661501960.A.BAB.html,8/26,爆
